tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
12700,30005,77SE,GOV,35,171,2022,8,29,0812,56.4474,11.0859,56.474,11.0933,41G1,19,IBTS,Y,Shoot: Svereg_note: 6 E Grenå.0628
8346,7301,11BU,BMT,32,NA,2022,11,16,1817,51.6651,2.7012,51.5642,2.6758,32F2,NA,NA,N,NA
12700,30026,77SE,GOV,47,183,2022,8,31,1637,57.5296,11.008,57.5445,11.0579,44G1,40,IBTS,Y,Shoot: Svereg_note: 7 SE Hertas flak.0640 Svereg_note: 7 SE Hertas flak.0640
8526,20837,26D4,FOT,13,56,2022,6,12,0421,56.9701,7.7786,56.953,7.7488,42F7,43,MEGS22,Y,VA 37. Stationen er overført fra SIS.
11678,28496,06NI,GOV,7,89,2022,2,10,1040,54.9652,8.1108,54.9652,8.1108,38F8,15,G1022,Y,NA
8526,20804,26D4,FOT,28,120,2022,6,16,1319,55.2468,5.3181,55.2892,5.3204,39F5,41,MEGS22,Y,Wing dist: 36 m. Stationen er overført fra SIS.
12700,30015,77SE,GOV,3,138,2022,8,21,1050,57.4631,10.8691,57.4414,10.8301,43G0,42,IBTS,Y,Shoot: Svereg_note: Läsö Ränna.0592
8526,20826,26D4,FOT,34,148,2022,6,19,0420,57.2541,7.5384,57.2997,7.5468,43F7,59,MEGS22,Y,Wing dist: 32 m. Stationen er overført fra SIS.
12690,29825,77SE,GOV,26,33,2022,1,29,0717,56.8782,12.2924,56.9049,12.2642,42G2,26,IBTS,Y,Home:
8537,21113,26HF,GOV,19,78,2022,2,9,0950,55.3609,3.7162,55.3327,3.6842,39F3,30,IBTS,Y,NA
8526,20814,26D4,GOV,54,167,2022,8,31,0927,54.1053,2.561,54.1338,2.5251,37F2,65,IBTS,Y,Stationen er overført fra SIS.
8526,20825,26D4,GOV,15,44,2022,8,20,1015,56.2749,3.6137,56.2719,3.5568,41F3,66,IBTS,Y,wing dist 23m. Stationen er overført fra SIS.
8526,20851,26D4,FOT,11,45,2022,6,11,1125,57.2481,3.9599,57.2212,3.9624,43F3,62,MEGS22,Y,wing dist: 31 meter. Stationen er overført fra SIS.
12700,30036,77SE,GOV,27,163,2022,8,27,0715,58.0389,9.9181,58.0519,9.9598,45F9,159,IBTS,Y,Shoot: Svereg_note: 28 N Hirtshals.0619
11679,28504,06NI,GOV,33,483,2022,8,15,1113,53.8085,6.6555,53.8085,6.6555,36F6,25,G2829,Y,NA
12690,29829,77SE,GOV,29,36,2022,1,31,0937,57.191,11.6571,57.221,11.6505,43G1,73,IBTS,Y,kom lite långt in på halet då det strulade lite med byte till långa svep
8537,21124,26HF,GOV,7,24,2022,2,2,1318,54.8667,7.7492,54.8346,7.7518,38F7,20,IBTS,Y,NA
12690,29828,77SE,GOV,28,35,2022,1,31,0718,57.1036,11.8343,57.1337,11.8472,43G1,53,IBTS,Y,Grumligt på botten enl. SMHI
